nom;app;diff;win;mise
guillaume;speed;1;1;0
guillaume;speed;1.5;1;0
guillaume;speed;2;1;0
guillaume;speed;2.5;1;0
guillaume;speed;9.5;1;0
guillaume;speed;3;1;0
guillaume;speed;3.5;1;0
guillaume;speed;4;1;0
guillaume;speed;4;1;0
guillaume;speed;4.5;1;0
guillaume;speed;5;1;0
guillaume;speed;5.5;1;0
guillaume;speed;6;0;0
guillaume;speed;5.5;1;0
guillaume;speed;6;0;0
guillaume;speed;5;1;0
guillaume;speed;5.5;1;0
guillaume;speed;9;1;0
guillaume;speed;6;1;0
guillaume;speed;8.5;0;0
guillaume;speed;6.5;1;0
guillaume;speed;7.5;1;0
guillaume;speed;7;1;0
guillaume;speed;7;1;0
guillaume;speed;7.5;1;0
guillaume;speed;8;1;0
guillaume;speed;7;1;0
guillaume;speed;8.5;0;0
guillaume;speed;8;0;0
guillaume;speed;2.5;1;0
guillaume;speed;7.5;0;0
guillaume;speed;7;0;0
guillaume;speed;6.5;0;0
guillaume;speed;6;0;0
guillaume;speed;5.5;1;0
guillaume;speed;6;0;0
guillaume;speed;9.5;0;0
guillaume;speed;5.5;1;0
guillaume;speed;8;1;0
guillaume;speed;7.5;0;0
guillaume;speed;6;1;0
guillaume;speed;6.5;1;0
guillaume;speed;2.5;1;0
guillaume;speed;7;1;0
guillaume;speed;7.5;1;0
guillaume;speed;8;1;0
guillaume;speed;8.5;0;0
guillaume;speed;8;0;0
guillaume;speed;7.5;0;0
guillaume;speed;2.5;1;0
guillaume;speed;7;1;0
guillaume;speed;7.5;1;0
guillaume;speed;4.5;1;0
guillaume;speed;8;0;0
guillaume;speed;6.5;0;0
guillaume;speed;7.5;1;0
guillaume;speed;6.5;1;0
guillaume;speed;8;1;0
guillaume;speed;2.5;1;0
guillaume;speed;8.5;1;0
guillaume;speed;9;0;0
guillaume;speed;8.5;1;0
guillaume;speed;9;0;0
guillaume;speed;8.5;1;0
guillaume;speed;9;1;0
guillaume;speed;9.5;0;0
guillaume;speed;9;1;0
guillaume;speed;4.5;1;0
guillaume;speed;9.5;0;0
guillaume;speed;9.5;0;0
guillaume;speed;9;0;0
guillaume;speed;9.5;0;0
guillaume;speed;8.5;0;0
guillaume;speed;8;0;0
guillaume;speed;7.5;1;0
guillaume;speed;8;0;0
guillaume;speed;4.5;1;0
guillaume;speed;7.5;1;0
guillaume;speed;8;0;0
guillaume;speed;7.5;1;0
guillaume;speed;8;0;0
guillaume;speed;7.5;0;0
guillaume;speed;1;1;0
guillaume;speed;1;1;0
guillaume;speed;4.5;0;0
guillaume;speed;1.5;1;0
guillaume;speed;6.5;1;0
guillaume;speed;2;1;0
guillaume;speed;1;0;0
guillaume;speed;1;0;0
guillaume;speed;0.5;1;0
guillaume;speed;1;0;0
guillaume;speed;8;0;0
guillaume;speed;0.5;1;0
guillaume;speed;1;1;0
guillaume;speed;1.5;1;0
guillaume;speed;2;1;0
guillaume;speed;4.5;1;0
guillaume;speed;2.5;1;0
guillaume;speed;3;1;0
guillaume;speed;8.5;0;0
guillaume;speed;3.5;0;0
guillaume;speed;3;1;0
guillaume;speed;3.5;0;0
guillaume;speed;3;1;0
guillaume;speed;6.5;1;0
guillaume;speed;3.5;0;0
guillaume;speed;3;1;0
guillaume;speed;3.5;1;0
guillaume;speed;4;1;0
guillaume;speed;4.5;1;0
guillaume;speed;5;0;0
guillaume;speed;4.5;1;0
guillaume;speed;5;1;0
guillaume;speed;5.5;1;0
guillaume;speed;6;1;0
guillaume;speed;6.5;1;0
guillaume;speed;7;1;0
guillaume;speed;7.5;0;0
guillaume;speed;7;1;0
guillaume;speed;7.5;1;0
guillaume;speed;8.5;0;0
guillaume;speed;8;0;0
guillaume;speed;7.5;1;0
guillaume;speed;8;1;0
guillaume;speed;6;1;0
guillaume;speed;2.5;1;0
guillaume;speed;5;0;0
guillaume;speed;8.5;0;0
guillaume;speed;8;0;0
guillaume;speed;7.5;0;0
guillaume;speed;7;1;0
guillaume;speed;7.5;1;0
guillaume;speed;8;0;0
guillaume;speed;7.5;0;0
guillaume;speed;7;1;0
guillaume;speed;7.5;1;0
guillaume;speed;8;1;0
guillaume;speed;8.5;0;0
guillaume;speed;8;0;0
guillaume;speed;7.5;1;0
guillaume;speed;8;0;0
guillaume;speed;7.5;1;0
guillaume;speed;8;0;0
guillaume;speed;7.5;0;0
guillaume;speed;7;1;0
guillaume;speed;7.5;1;0
guillaume;speed;8;0;0
guillaume;speed;7.5;1;0
guillaume;speed;8;1;0
guillaume;speed;8.5;0;0
guillaume;speed;8;0;0
guillaume;speed;7.5;0;0
guillaume;speed;1;1;0
guillaume;speed;1.5;1;0
guillaume;speed;2;1;0
guillaume;speed;2.5;1;0
guillaume;speed;3;1;0
guillaume;speed;3.5;1;0
guillaume;speed;4;1;0
guillaume;speed;4.5;1;0
guillaume;speed;5;1;0
guillaume;speed;5.5;1;0
guillaume;speed;6;1;0
guillaume;speed;6.5;1;0
guillaume;speed;7;1;0
guillaume;speed;7.5;1;0
guillaume;speed;9.5;0;0
guillaume;speed;2;1;0
guillaume;speed;5;0;0
guillaume;speed;8;0;0
guillaume;speed;7.5;0;0
guillaume;speed;7;1;0
guillaume;speed;7.5;1;0
guillaume;speed;8;0;0
guillaume;speed;7.5;1;0
guillaume;speed;8;1;0
guillaume;speed;8.5;1;0
guillaume;speed;9;1;0
guillaume;speed;9.5;0;0
guillaume;speed;9;1;0
guillaume;speed;8.5;0;0
guillaume;speed;9.5;1;0
guillaume;speed;3.5;1;0
guillaume;speed;10;0;0
guillaume;speed;9;1;0
guillaume;speed;9.5;0;0
guillaume;speed;9;1;0
guillaume;speed;9.5;0;0
