IDjoueur;nom_du_jeu;action_de_jeu;sequence;mise;diff;score;win;
7qlky48mq;Motrice;1;;4;4.7534692783297245;4;1;
7qlky48mq;Motrice;2;;3;5.381755349031991;7;1;
7qlky48mq;Motrice;3;;4;4.7534692783297245;3;0;
7qlky48mq;Motrice;4;;4;4.034264097200273;-1;0;
7qlky48mq;Motrice;5;;5;4.7534692783297245;4;1;
7qlky48mq;Motrice;6;;3;5.381755349031991;7;1;
7qlky48mq;Motrice;7;;3;5.95240197898444;10;1;
7qlky48mq;Motrice;8;;5;6.486337229729588;15;1;
7qlky48mq;Motrice;9;;5;6.998323261344622;20;1;
7qlky48mq;Motrice;10;;6;7.5;26;1;
7qlky48mq;Motrice;11;;6;8.001676738655377;32;1;
7qlky48mq;Motrice;12;;2;7.5;30;0;
7qlky48mq;Motrice;13;;5;8.001676738655377;35;1;
7qlky48mq;Motrice;14;;1;7.5;34;0;
7qlky48mq;Motrice;15;;6;8.001676738655377;40;1;
7qlky48mq;Motrice;16;;1;7.5;39;0;
7qlky48mq;Motrice;17;;6;6.998323261344622;33;0;
7qlky48mq;Motrice;18;;7;7.5;40;1;
7qlky48mq;Motrice;19;;6;8.001676738655377;46;1;
7qlky48mq;Motrice;20;;1;7.5;45;0;
7qlky48mq;Motrice;21;;6;6.998323261344622;39;0;
7qlky48mq;Motrice;22;;7;7.5;46;1;
7qlky48mq;Motrice;23;;7;8.001676738655377;53;1;
7qlky48mq;Motrice;24;;1;8.513662770270411;54;1;
7qlky48mq;Motrice;25;;1;8.001676738655377;53;0;
7qlky48mq;Motrice;26;;1;7.5;52;0;
7qlky48mq;Motrice;27;;7;8.001676738655377;59;1;
7qlky48mq;Motrice;28;;1;8.513662770270411;60;1;
7qlky48mq;Motrice;29;;1;9.047598021015558;61;1;
7qlky48mq;Motrice;30;;1;9.618244650968009;62;1;
