nom_du_joueur;IDjoueur;nom_du_jeu;action_de_jeu;mise;difficulty;score;gagnant
Anton;8szmuppws;Logique2;1;1;0.1;1;1
Anton;8szmuppws;Logique2;2;7;0.2;8;1
Anton;8szmuppws;Logique2;3;1;0.30000000000000004;7;0
Anton;8szmuppws;Logique2;4;7;0.20000000000000004;14;1
Anton;8szmuppws;Logique2;5;3;0.30000000000000004;17;1
Anton;8szmuppws;Logique2;6;5;0.4;12;0
Anton;8szmuppws;Logique2;7;3;0.30000000000000004;15;1
Anton;8szmuppws;Logique2;8;2;0.4;13;0
Anton;8szmuppws;Logique2;9;4;0.30000000000000004;9;0
Anton;8szmuppws;Logique2;10;7;0.20000000000000004;16;1
Anton;8szmuppws;Logique2;11;7;0.30000000000000004;23;1
Anton;8szmuppws;Logique2;12;7;0.4;16;0
Anton;8szmuppws;Logique2;13;7;0.30000000000000004;23;1
Anton;8szmuppws;Logique2;14;7;0.4;30;1
Anton;8szmuppws;Logique2;15;7;0.5;23;0
Anton;8szmuppws;Logique2;16;7;0.4;30;1
Anton;8szmuppws;Logique2;17;1;0.5;31;1
Anton;8szmuppws;Logique2;18;2;0.6;33;1
Anton;8szmuppws;Logique2;19;4;0.7;37;1
Anton;8szmuppws;Logique2;20;1;0.7999999999999999;38;1
Anton;8szmuppws;Logique2;21;1;0.8999999999999999;39;1
Anton;8szmuppws;Logique2;22;4;0.9999999999999999;43;1
Anton;8szmuppws;Logique2;23;2;1;41;0
Anton;8szmuppws;Logique2;24;1;0.9;40;0
Anton;8szmuppws;Logique2;25;4;0.8;44;1
Anton;8szmuppws;Logique2;26;2;0.9;42;0
Anton;8szmuppws;Logique2;27;1;0.8;41;0
Anton;8szmuppws;Logique2;28;1;0.7000000000000001;42;1
Anton;8szmuppws;Logique2;29;1;0.8;41;0
Anton;8szmuppws;Logique2;30;2;0.7000000000000001;39;0
Anton;8szmuppws;Sensoriel;1;7;0;7;1
Anton;8szmuppws;Sensoriel;2;7;0.1;0;0
Anton;8szmuppws;Sensoriel;3;7;0;7;1
Anton;8szmuppws;Sensoriel;4;7;0.1;14;1
Anton;8szmuppws;Sensoriel;5;4;0.2;18;1
Anton;8szmuppws;Sensoriel;6;5;0.30000000000000004;13;0
Anton;8szmuppws;Sensoriel;7;7;0.20000000000000004;6;0
Anton;8szmuppws;Sensoriel;8;7;0.10000000000000003;13;1
Anton;8szmuppws;Sensoriel;9;7;0.20000000000000004;20;1
Anton;8szmuppws;Sensoriel;10;7;0.30000000000000004;13;0
Anton;8szmuppws;Sensoriel;11;7;0.20000000000000004;20;1
Anton;8szmuppws;Sensoriel;12;7;0.30000000000000004;27;1
Anton;8szmuppws;Sensoriel;13;7;0.4;34;1
